tier,n_total,n_submitted,n_rejected,n_open,n_closed,n_skipped,n_unknown,rejection_rate
entry,11,10,3,7,1,0,0,30.0
stretch,6,4,1,3,1,1,0,25.0
unspecified,33,29,11,18,3,0,1,37.9
