channel,n_total,n_submitted,n_rejected,n_open,n_closed,n_skipped,n_unknown,rejection_rate
other,22,20,10,10,1,1,0,50.0
company_portal,8,7,1,6,1,0,0,14.3
linkedin,8,8,0,8,0,0,0,0.0
indeed,5,4,1,3,0,0,1,25.0
workday,4,4,3,1,0,0,0,75.0
jooble,3,0,0,0,3,0,0,
